Nom,Indicador Refugi,Latitud,Longitud,Accessibilitat,Aigua potable,Climatització,Àrea Descans,Lavabos,Adreça,Tipologia Refugi,Origen Identificador,Última Actualització,Categoria,Gratuït,Accés Lliure,Equipament_unic
Casal de Barri Espai Antoni Miró Peris,080193|CASAL_DE_BARRI_ESPAI_ANTONI_MIRO_PERIS,41.412852,2.184528,si,Sí,si,Sí,SI,"Plaça de Carme Montoriol, 10",Equipaments de proximitat,Ajuntament de Barcelona,2026-06-23 15:23:00,Casal de Barri,Sí,Sí,True
Casal de Barri Besòs,080193|CASAL_DE_BARRI_BESOS,41.417115,2.214682,si,Sí,si,Sí,si,"c. Cristóbal de Moura, 232",Equipaments de proximitat,Ajuntament de Barcelona,2026-06-23 15:23:00,Casal de Barri,Sí,Sí,True
Seu del Districte de Sant Martí,080193|SEU_DEL_DISTRICTE_DE_SANT_MARTI,41.408653,2.192312,Sí,Sí,Sí,Sí,Sí,"Pl. Valentí Almirall, 1",Equipaments de proximitat,Ajuntament de Barcelona,2026-06-23 15:23:00,Equipament de Ciutat,Sí,Restringit,True
Espai Veïnal Olzinelles,080193|ESPAI_VEINAL_OLZINELLES,41.372838,2.136529,Sí,Sí,Sí,Sí,Sí,"C. Olzinelles, 30",Equipaments de proximitat,Ajuntament de Barcelona,2026-06-23 15:23:00,Casal de Barri,Sí,Sí,True
Espai Jove la Bàscula,080193|ESPAI_JOVE_LA_BASCULA,41.358479,2.144206,Sí,Sí,Sí,Sí,Sí,"C. Foc, 128",Equipaments de proximitat,Ajuntament de Barcelona,2026-06-23 15:23:00,Espai Jove,Sí,Restringit,True
Espai Jove Casa Sagnier,080193|ESPAI_JOVE_CASA_SAGNIER,41.401875,2.144513,Sí,Sí,Sí,Sí,si,"C. Brusi, 61",Equipaments de proximitat,Ajuntament de Barcelona,2026-06-23 15:23:00,Espai Jove,Sí,Restringit,True
Espai de Gent Gran Germanetes,080193|ESPAI_DE_GENT_GRAN_GERMANETES,41.38193,2.154711,si,Sí,Sí,Sí,Sí,"C. Viladomat, 142",Equipaments de proximitat,Ajuntament de Barcelona,2026-06-23 15:23:00,Casal de Gent Gran,Sí,Restringit,True
Espai Jove Ca la Panarra,080193|ESPAI_JOVE_CA_LA_PANARRA,41.385045,2.128575,Sí,Sí,Sí,Sí,Sí,"Carrer Dolors Masferrer, 29",Equipaments de proximitat,Ajuntament de Barcelona,2026-06-23 15:23:00,Espai Jove,Sí,Restringit,True
Abacus Urquinaona,080193|ABACUS_URQUINAONA,41.39073,2.175013,Sí,No,Sí,Sí,Sí,"Carrer d'Ausiàs Marc, 16",_microRefugi,Ajuntament de Barcelona,2026-06-23 15:23:00,Microrefugi,Parcialment,Sí,True
Espai Abacus Enric Granados,080193|ESPAI_ABACUS_ENRIC_GRANADOS,41.39385,2.154607,Sí,No,Sí,Sí,Sí,"Carrer d'Enric Granados, 112",_microRefugi,Ajuntament de Barcelona,2026-06-23 15:23:00,Microrefugi,Parcialment,Sí,True
Abacus Illa Diagonal,080193|ABACUS_ILLA_DIAGONAL,41.38974,2.13523,Sí,Sí,Sí,Sí,Sí,"Avinguda Diagonal, 545-557",_microRefugi,Ajuntament de Barcelona,2026-06-23 15:23:00,Microrefugi,Parcialment,Sí,True
Església Evangèlica Unida De Barcelona,080193|ESGLESIA_EVANGELICA_UNIDA_DE_BARCELONA,41.43196,2.1791,Sí,Sí,Sí,Sí,Sí,"Santapau, 102",Centres de culte,Ajuntament de Barcelona,2026-06-23 15:23:00,Centre de Culte,Sí,Parcialment,True
Pati de l'escola Calderon de la Barca,080193|PATI_DE_L_ESCOLA_CALDERON_DE_LA_BARCA,41.43367,2.171515,Sí,Sí,No,Sí,No,"C. Nil, 27-29",Patis d'Escola,Ajuntament de Barcelona,2026-06-23 15:23:00,Pati d'Escola,Sí,Restringit,True
Pati de l'escola Drassanes,080193|PATI_DE_L_ESCOLA_DRASSANES,41.37908,2.177236,Sí,Sí,No,Sí,No,"C. Nou de Sant Francesc, 11 (entrada pel C. d’en Rull)",Patis d'Escola,Ajuntament de Barcelona,2026-06-23 15:23:00,Pati d'Escola,Sí,Restringit,True
Pati de l'escola Antoni Brusi,080193|PATI_DE_L_ESCOLA_ANTONI_BRUSI,41.391231,2.189695,Sí,Sí,No,Sí,No,"C. Sardenya, 27",Patis d'Escola,Ajuntament de Barcelona,2026-06-23 15:23:00,Pati d'Escola,Sí,Restringit,True
Pati de l'escola Baldiri Reixac,080193|PATI_DE_L_ESCOLA_BALDIRI_REIXAC,41.413895,2.153043,Sí,Sí,No,Sí,No,"C. Olot, 1-13 (Recinte Parc Güell)",Patis d'Escola,Ajuntament de Barcelona,2026-06-23 15:23:00,Pati d'Escola,Sí,Restringit,True
Pati de l'escola Torrent de Can Carabassa,080193|PATI_DE_L_ESCOLA_TORRENT_DE_CAN_CARABASSA,41.42681,2.161066,Sí,Sí,No,Sí,No,"C. Llobregós, 17-23 (entrada per la porta de la rampa)",Patis d'Escola,Ajuntament de Barcelona,2026-06-23 15:23:00,Pati d'Escola,Sí,Restringit,True
