Nom,Indicador Refugi,Latitud,Longitud,Accessibilitat,Aigua potable,Climatització,Àrea Descans,Lavabos,Adreça,Tipologia Refugi,Origen Identificador,Última Actualització,Categoria,Gratuït,Accés Lliure,Equipament_unic
Bib. Francesca Bonnemaison,080193|BIB_FRANCESCA_BONNEMAISON,41.38649,2.176176,Sí,Sí,Sí,Sí,Sí,"C. Sant Pere més Baix, 7",Biblioteques,Ajuntament de Barcelona,2026-06-23 15:23:00,Biblioteca,Sí,Sí,True
Bib. Gòtic - Andreu Nin,080193|BIB_GOTIC_ANDREU_NIN,41.37849,2.176065,Sí,Sí,Sí,Sí,Sí,"C. La Rambla, 30-32",Biblioteques,Ajuntament de Barcelona,2026-06-23 15:23:00,Biblioteca,Sí,Sí,True
Bib. Guinardó - Mercè Rodoreda,080193|BIB_GUINARDO_MERCE_RODOREDA,41.41289,2.162447,Sí,Sí,Sí,Sí,Sí,"C. Camèlies, 76-80",Biblioteques,Ajuntament de Barcelona,2026-06-23 15:23:00,Biblioteca,Sí,Sí,True
Bib. Horta - Can Mariner,080193|BIB_HORTA_CAN_MARINER,41.43114,2.160751,Sí,Sí,Sí,Sí,Sí,"C. Vent, 1",Biblioteques,Ajuntament de Barcelona,2026-06-23 15:23:00,Biblioteca,Sí,Sí,True
Bib. Ignasi Iglésias - Can Fabra,080193|BIB_IGNASI_IGLESIAS_CAN_FABRA,41.43397,2.191338,Sí,Sí,Sí,Sí,Sí,"C. Segre, 24-32",Biblioteques,Ajuntament de Barcelona,2026-06-23 15:23:00,Biblioteca,Sí,Sí,True
Bib. Joan Miró,080193|BIB_JOAN_MIRO,41.37885,2.149248,Sí,Sí,Sí,Sí,Sí,"Parc Joan Miró / Vilamarí, 61",Biblioteques,Ajuntament de Barcelona,2026-06-23 15:23:00,Biblioteca,Sí,Sí,True
Bib. La Sagrera - Marina Clotet,080193|BIB_LA_SAGRERA_MARINA_CLOTET,41.42591,2.193781,Sí,Sí,Sí,Sí,Sí,"C. Josep Soldevila, 9",Biblioteques,Ajuntament de Barcelona,2026-06-23 15:23:00,Biblioteca,Sí,Sí,True
Bib. Les Roquetes - Rafa Juncadella,080193|BIB_LES_ROQUETES_RAFA_JUNCADELLA,41.4454,2.177121,Sí,Sí,Sí,Sí,Sí,"Via Favència, 288 B",Biblioteques,Ajuntament de Barcelona,2026-06-23 15:23:00,Biblioteca,Sí,Sí,True
Bib. Montbau - Albert Pérez Baró,080193|BIB_MONTBAU_ALBERT_PEREZ_BARO,41.42918,2.14197,Sí,Sí,Sí,Sí,Sí,"C. Arquitectura, 8",Biblioteques,Ajuntament de Barcelona,2026-06-23 15:23:00,Biblioteca,Sí,Sí,True
Bib. Montserrat Abelló,080193|BIB_MONTSERRAT_ABELLO,41.38371,2.135285,Sí,Sí,Sí,Sí,Sí,"C. Comtes de Bell-lloc, 192-200",Biblioteques,Ajuntament de Barcelona,2026-06-23 15:23:00,Biblioteca,Sí,Sí,True
Bib. Nou Barris - Aurora Díaz Plaja,080193|BIB_NOU_BARRIS_AURORA_DIAZ_PLAJA,41.43684,2.17123,Sí,Sí,Sí,Sí,Sí,"Pl. Major de Nou Barris, 2",Biblioteques,Ajuntament de Barcelona,2026-06-23 15:23:00,Biblioteca,Sí,Sí,True
Bib. Poblenou - Manuel Arranz,080193|BIB_POBLENOU_MANUEL_ARRANZ,41.4014,2.204543,Sí,Sí,Sí,Sí,Sí,"C. Joncar, 35",Biblioteques,Ajuntament de Barcelona,2026-06-23 15:23:00,Biblioteca,Sí,Sí,True
Bib. Poble Sec - Francesc Boix,080193|BIB_POBLE_SEC_FRANCESC_BOIX,41.37395,2.164043,Sí,Sí,Sí,Sí,Sí,"C. Blai, 34",Biblioteques,Ajuntament de Barcelona,2026-06-23 15:23:00,Biblioteca,Sí,Sí,True
Bib. Ramon d'Alòs - Moner,080193|BIB_RAMON_D_ALOS_MONER,41.41635,2.2115,Sí,Sí,Sí,Sí,Sí,"Rbla. de Prim, 87-89 (Centre Cívic)",Biblioteques,Ajuntament de Barcelona,2026-06-23 15:23:00,Biblioteca,Sí,Sí,True
Bib. Sant Antoni - Joan Oliver,080193|BIB_SANT_ANTONI_JOAN_OLIVER,41.37741,2.162796,Sí,Sí,Sí,Sí,Sí,"C. Comte Borrell,44-46",Biblioteques,Ajuntament de Barcelona,2026-06-23 15:23:00,Biblioteca,Sí,Sí,True
Bib. Sant Gervasi - Joan Maragall,080193|BIB_SANT_GERVASI_JOAN_MARAGALL,41.40596,2.135993,Sí,Sí,Sí,Sí,Sí,"C. Sant Gervasi de Cassoles, 85",Biblioteques,Ajuntament de Barcelona,2026-06-23 15:23:00,Biblioteca,Sí,Sí,True
Bib. Sant Pau - Santa Creu,080193|BIB_SANT_PAU_SANTA_CREU,41.38049,2.170353,Sí,Sí,Sí,Sí,Sí,"C. Carme, 47 / Hospital, 56",Biblioteques,Ajuntament de Barcelona,2026-06-23 15:23:00,Biblioteca,Sí,Sí,True
Bib. Sofia Barat,080193|BIB_SOFIA_BARAT,41.39471,2.171522,Sí,Sí,Sí,Sí,Sí,"C. Girona, 64-68 (interior d'illa)",Biblioteques,Ajuntament de Barcelona,2026-06-23 15:23:00,Biblioteca,Sí,Sí,True
Bib. Vallcarca i els Penitents - M. Antonieta Cot,080193|BIB_VALLCARCA_I_ELS_PENITENTS_M_ANTONIETA_COT,41.42004,2.139675,Sí,Sí,Sí,Sí,Sí,"Pg. de la Vall d'Hebron, 65-69",Biblioteques,Ajuntament de Barcelona,2026-06-23 15:23:00,Biblioteca,Sí,Sí,True
Bib. Vapor Vell,080193|BIB_VAPOR_VELL,41.37693,2.134752,Sí,Sí,Sí,Sí,Sí,"Ptge. Vapor Vell, s/n",Biblioteques,Ajuntament de Barcelona,2026-06-23 15:23:00,Biblioteca,Sí,Sí,True
Bib. Vila de Gràcia - Rosa M. Arquimbau,080193|BIB_VILA_DE_GRACIA_ROSA_M_ARQUIMBAU,41.4015,2.158232,Sí,Sí,Sí,Sí,Sí,"C. Torrent de l’Olla, 104",Biblioteques,Ajuntament de Barcelona,2026-06-23 15:23:00,Biblioteca,Sí,Sí,True
Bib. Vilapicina i la Torre Llobeta - Carmen Laforet,080193|BIB_VILAPICINA_I_LA_TORRE_LLOBETA_CARMEN_LAFORET,41.42703,2.175994,Sí,Sí,Sí,Sí,Sí,"Pl. de Carmen Laforet, 11",Biblioteques,Ajuntament de Barcelona,2026-06-23 15:23:00,Biblioteca,Sí,Sí,True
Bib. Zona Nord - Mària Sánchez,080193|BIB_ZONA_NORD_MARIA_SANCHEZ,41.46127,2.179893,Sí,Sí,Sí,Sí,Sí,"C. Vallcivera, 3 bis",Biblioteques,Ajuntament de Barcelona,2026-06-23 15:23:00,Biblioteca,Sí,Sí,True
Bib. Les Corts - Miquel Llongueras,080193|BIB_LES_CORTS_MIQUEL_LLONGUERAS,41.37801,2.121843,Sí,Sí,Sí,Sí,Sí,"Trav. de Les Corts, 58",Biblioteques,Ajuntament de Barcelona,2026-06-23 15:23:00,Biblioteca,Sí,Sí,True
CEM Can Cuyàs,080193|CEM_CAN_CUYAS,41.45992,2.168133,Sí,Sí,No (aire lliure),Sí,Sí,Av. Rasos de Peguera,Complexos esportius,Ajuntament de Barcelona,2026-06-23 15:23:00,Complex Esportiu,No,Sí,True
CEM Can Felipa,080193|CEM_CAN_FELIPA,41.40405,2.201405,Sí,Sí,Sí,Sí,Sí,"Pl. Josep M. Huertas Claveria, 1",Complexos esportius,Ajuntament de Barcelona,2026-06-23 15:23:00,Complex Esportiu,No,Sí,True
CEM Can Ricart,080193|CEM_CAN_RICART,41.37753,2.170761,Sí,Sí,Sí,Sí,No,"C. Sant Oleguer, 10",Complexos esportius,Ajuntament de Barcelona,2026-06-23 15:23:00,Complex Esportiu,No,Sí,True
CEM Can Toda,080193|CEM_CAN_TODA,41.41538,2.158172,Sí,Sí,Sí,Sí,Sí,"Ctra. dEl Carmel, 5",Complexos esportius,Ajuntament de Barcelona,2026-06-23 15:23:00,Complex Esportiu,No,Sí,True
CEM El Carmel,080193|CEM_EL_CARMEL,41.42321,2.158577,Sí,Sí,Sí,Sí,Sí,C. Pedrell,Complexos esportius,Ajuntament de Barcelona,2026-06-23 15:23:00,Complex Esportiu,No,Sí,True
CEM Les Corts,080193|CEM_LES_CORTS,41.38541,2.133598,Sí,Sí,Sí,Sí,Sí,"Trav. de Les Corts, 252-254",Complexos esportius,Ajuntament de Barcelona,2026-06-23 15:23:00,Complex Esportiu,No,Sí,True
CEM Mundet,080193|CEM_MUNDET,41.43576,2.147158,Sí,Sí,Sí,Sí,Sí,"C. Olympe de Gouges, s/n",Complexos esportius,Ajuntament de Barcelona,2026-06-23 15:23:00,Complex Esportiu,No,Sí,True
CEM Perill,080193|CEM_PERILL,41.39943,2.161522,Sí,Sí,Sí,Sí,Sí,C. Perill,Complexos esportius,Ajuntament de Barcelona,2026-06-23 15:23:00,Complex Esportiu,No,Sí,True
CEM Piscines Picornell,080193|CEM_PISCINES_PICORNELL,41.36601,2.151086,Sí,Sí,Sí,Sí,Sí,"Av. de l'Estadi, 30",Complexos esportius,Ajuntament de Barcelona,2026-06-23 15:23:00,Complex Esportiu,No,Sí,True
CEM Putxet,080193|CEM_PUTXET,41.40973,2.141296,Sí,Sí,Sí,Sí,Sí,"C. Marmellà, 23",Complexos esportius,Ajuntament de Barcelona,2026-06-23 15:23:00,Complex Esportiu,No,Sí,True
CEM Sagrada Família,080193|CEM_SAGRADA_FAMILIA,41.40729,2.17932,Sí,Sí,Sí,Sí,Sí,"C. Cartagena, 231-239",Complexos esportius,Ajuntament de Barcelona,2026-06-23 15:23:00,Complex Esportiu,No,Sí,True
CEM Vintró,080193|CEM_VINTRO,41.40669,2.186298,Sí,Sí,Sí,Sí,Sí,"C. Consell de Cent, 623-627",Complexos esportius,Ajuntament de Barcelona,2026-06-23 15:23:00,Complex Esportiu,No,Sí,True
CEM Trinitat Vella,080193|CEM_TRINITAT_VELLA,41.45124,2.193849,Sí,Sí,No,Sí,No,"Via Bàrcino, 84",Complexos esportius,Ajuntament de Barcelona,2026-06-23 15:23:00,Complex Esportiu,No,Sí,True
CUESB,080193|CUESB,41.39898,2.201438,Sí,Sí,Sí,Sí,Sí,"C. Llacuna, 25",Altres,Ajuntament de Barcelona,2026-06-23 15:23:00,Entitat Social,Sí,Restringit,True
El Centre de la Platja,080193|EL_CENTRE_DE_LA_PLATJA,41.38309,2.194477,Sí,Sí,Sí,Sí,Sí,Platja Somorrostro. Sota Porxos Passeig marítim. Front Hospital del Mar,Equipaments Ambientals,Ajuntament de Barcelona,2026-06-23 15:23:00,Equipament Ambiental,Sí,Sí,True
La Fàbrica del Sol,080193|LA_FABRICA_DEL_SOL,41.38219,2.191758,Sí,Sí,Sí,Sí,Sí,Pg. Salvat Papasseit s/n,Equipaments Ambientals,Ajuntament de Barcelona,2026-06-23 15:23:00,Equipament Ambiental,Sí,Sí,True
Casal de barri Raval,080193|CASAL_DE_BARRI_RAVAL,41.37694,2.167179,Sí,Sí,Sí,Sí,Sí,"C. Reina Amàlia, 31",Equipaments de proximitat,Ajuntament de Barcelona,2026-06-23 15:23:00,Casal de Barri,Sí,Sí,True
CC Besós i Maresme,080193|CC_BESOS_I_MARESME,41.41635,2.211497,Sí,Sí,Sí,Sí,Sí,"Rbla. de Prim, 87-89",Equipaments de proximitat,Ajuntament de Barcelona,2026-06-23 15:23:00,Centre Cívic,Sí,Sí,True
Casal de barri Congrés Indians,080193|CASAL_DE_BARRI_CONGRES_INDIANS,41.42399,2.179412,Sí,Sí,Sí,Sí,Sí,C. Manigua 25-35,Equipaments de proximitat,Ajuntament de Barcelona,2026-06-23 15:23:00,Casal de Barri,Sí,Sí,True
CC Carmel,080193|CC_CARMEL,41.42029,2.151204,Sí,No informat,Sí,Sí,Sí,"C. Santuari, 27",Equipaments de proximitat,Ajuntament de Barcelona,2026-06-23 15:23:00,Centre Cívic,Sí,Sí,True
CC Cotxeres de Sants,080193|CC_COTXERES_DE_SANTS,41.3753,2.136897,Sí (excepte lavabos),Sí,Sí,Sí,Sí,"C. Sants, 79",Equipaments de proximitat,Ajuntament de Barcelona,2026-06-23 15:23:00,Centre Cívic,Sí,Sí,True
CC El Sortidor,080193|CC_EL_SORTIDOR,41.3721,2.162548,Sí,Sí,Sí,Sí,Sí,"Pl. del Sortidor, 12",Equipaments de proximitat,Ajuntament de Barcelona,2026-06-23 15:23:00,Centre Cívic,Sí,Sí,True
CC Vil.la Urània,080193|CC_VIL_LA_URANIA,41.40151,2.14989,Sí,Sí,Sí,Sí,Sí,"C. Saragossa, 29",Equipaments de proximitat,Ajuntament de Barcelona,2026-06-23 15:23:00,Centre Cívic,Sí,Sí,True
CC Baró de Viver,080193|CC_BARO_DE_VIVER,41.44617,2.200389,Sí,Sí,Sí,Sí,Sí,"C. Quito, 8",Equipaments de proximitat,Ajuntament de Barcelona,2026-06-23 15:23:00,Centre Cívic,Sí,Sí,False
CC Can Basté,080193|CC_CAN_BASTE,41.43049,2.173233,Sí,Sí,Sí,Sí,Sí,"Pg. Fabra i Puig, 274-276",Equipaments de proximitat,Ajuntament de Barcelona,2026-06-23 15:23:00,Centre Cívic,Sí,Sí,True
CC Can Verdaguer,080193|CC_CAN_VERDAGUER,41.43409,2.179183,Sí,Sí,Sí,Sí,Sí,"C. Piferrer, 94-100",Equipaments de proximitat,Ajuntament de Barcelona,2026-06-23 15:23:00,Centre Cívic,Sí,Sí,True
Centre Cívic Casa Golferichs,080193|CENTRE_CIVIC_CASA_GOLFERICHS,41.38085,2.156407,Sí,Sí,Sí,Sí,Sí,"G.V. Corts Catalanes, 491",Equipaments de proximitat,Ajuntament de Barcelona,2026-06-23 15:23:00,Centre Cívic,Sí,Sí,True
CC Casa Orlandai,080193|CC_CASA_ORLANDAI,41.39836,2.124672,Sí,Sí,Sí,Sí,Sí,C. Jaume Piquet,Equipaments de proximitat,Ajuntament de Barcelona,2026-06-23 15:23:00,Centre Cívic,Sí,Sí,True
CC Casinet d'Hostafrancs,080193|CC_CASINET_D_HOSTAFRANCS,41.37786,2.143222,Sí,Sí,Sí,Sí,Sí,"C. Rector Triadó, 53",Equipaments de proximitat,Ajuntament de Barcelona,2026-06-23 15:23:00,Centre Cívic,Sí,Sí,True
Casal Mas Guinardó,080193|CASAL_MAS_GUINARDO,41.41608,2.173342,Sí,Sí,Altres,Sí,Sí,"Pl. Salvador Riera, 2",Equipaments de proximitat,Ajuntament de Barcelona,2026-06-23 15:23:00,Casal de Barri,Sí,Sí,True
CC Joan Oliver Pere Quart,080193|CC_JOAN_OLIVER_PERE_QUART,41.37933,2.127776,Sí,Sí,Sí,Sí,Sí,"C. Comandant Benítez, 6",Equipaments de proximitat,Ajuntament de Barcelona,2026-06-23 15:23:00,Centre Cívic,Sí,Sí,True
Centre Cultural La  Casa Elizalde,080193|CENTRE_CULTURAL_LA_CASA_ELIZALDE,41.39452,2.165883,Sí,Sí,Sí,Sí,Sí,"C. València, 302",Equipaments de proximitat,Ajuntament de Barcelona,2026-06-23 15:23:00,Entitat Cultural,Sí,Sí,True
Centre Cívic La Sedeta,080193|CENTRE_CIVIC_LA_SEDETA,41.40558,2.167688,Sí,Sí,Sí,Sí,Sí,"C. Sicília, 321",Equipaments de proximitat,Ajuntament de Barcelona,2026-06-23 15:23:00,Centre Cívic,Sí,Sí,True
Centre Cívic Matas i Ramis,080193|CENTRE_CIVIC_MATAS_I_RAMIS,41.43279,2.160724,Sí,Sí,Sí,Sí,Sí,"C. Feliu i Codina, 20",Equipaments de proximitat,Ajuntament de Barcelona,2026-06-23 15:23:00,Centre Cívic,Sí,Sí,True
Centre Cívic Navas,080193|CENTRE_CIVIC_NAVAS,41.41694,2.184932,Sí,Sí,Sí,Sí,Sí,"Ptge. Dr. Torent, 1",Equipaments de proximitat,Ajuntament de Barcelona,2026-06-23 15:23:00,Centre Cívic,Sí,Sí,True
CC Tomasa Cuevas - Les Corts,080193|CC_TOMASA_CUEVAS_LES_CORTS,41.38482,2.128342,Sí,Sí,No,Sí,Sí,"C. Dolors Masferrer i Bosch, 33-35",Equipaments de proximitat,Ajuntament de Barcelona,2026-06-23 15:23:00,Centre Cívic,Sí,Sí,True
Centre cívic Torre Llobeta,080193|CENTRE_CIVIC_TORRE_LLOBETA,41.42693,2.173966,Sí,Sí,Sí,Sí,Sí,"C. Santa Fe, 2 bis",Equipaments de proximitat,Ajuntament de Barcelona,2026-06-23 15:23:00,Centre Cívic,Sí,Sí,True
Casal de Gent Gran Mediterrània,080193|CASAL_DE_GENT_GRAN_MEDITERRANIA,41.3803,2.192316,Sí,Sí,Sí,Sí,Sí,"C. Conreria, 1-9",Equipaments de proximitat,Ajuntament de Barcelona,2026-06-23 15:23:00,Casal de Gent Gran,Sí,Restringit,True
La Lleialtat Santsenca,080193|LA_LLEIALTAT_SANTSENCA,41.3729,2.136665,Sí,Sí,Sí,Sí,Sí,"C. Olzinelles, 31",Equipaments de proximitat,Ajuntament de Barcelona,2026-06-23 15:23:00,Casal de Barri,Sí,Sí,True
Casal de Barri Transformadors,080193|CASAL_DE_BARRI_TRANSFORMADORS,41.39344,2.178587,Sí,Sí,Sí,Sí,Sí,"C. Ausiàs Marc, 60",Equipaments de proximitat,Ajuntament de Barcelona,2026-06-23 15:23:00,Casal de Barri,Sí,Sí,True
Centre Cívic Cotxeres Borrell,080193|CENTRE_CIVIC_COTXERES_BORRELL,41.37557,2.162919,Sí,Sí,Sí,Sí,Sí,"C. Viladomat, 2-8",Equipaments de proximitat,Ajuntament de Barcelona,2026-06-23 15:23:00,Centre Cívic,Sí,Sí,True
Casal Barri Ateneu el Poblet,080193|CASAL_BARRI_ATENEU_EL_POBLET,41.40235,2.170377,Sí,Sí,Sí,Sí,Sí,"C. Nàpols, 268",Equipaments de proximitat,Ajuntament de Barcelona,2026-06-23 15:23:00,Casal de Barri,Sí,Sí,True
Centre Cívic Zona Nord,080193|CENTRE_CIVIC_ZONA_NORD,41.46068,2.178346,Sí,Sí,Sí,Sí,Sí,"C. Vallcivera, 14",Equipaments de proximitat,Ajuntament de Barcelona,2026-06-23 15:23:00,Centre Cívic,Sí,Sí,True
CC Sagrera - La Barraca,080193|CC_SAGRERA_LA_BARRACA,41.42397,2.189151,Sí,Sí,Sí,Sí,Sí,"C. Martí Molins, 29",Equipaments de proximitat,Ajuntament de Barcelona,2026-06-23 15:23:00,Centre Cívic,Sí,Sí,True
Museu de Cultures del Món,080193|MUSEU_DE_CULTURES_DEL_MON,41.38504,2.180911,Sí,Sí,Sí,Sí,Sí,"C. Montcada, 12-14",Museus,Ajuntament de Barcelona,2026-06-23 15:23:00,Museu,Parcialment,Sí,True
Museu d'Història de Barcelona - Avantcambra Saló del Tinell,080193|MUSEU_D_HISTORIA_DE_BARCELONA_AVANTCAMBRA_SALO_DEL_TINELL,41.38428,2.177341,Sí,No,Sí,Sí,Sí,Pl. del Rei,Museus,Ajuntament de Barcelona,2026-06-23 15:23:00,Museu,Parcialment,Sí,True
Museu d'Història de Barcelona - Pati de Padellàs,080193|MUSEU_D_HISTORIA_DE_BARCELONA_PATI_DE_PADELLAS,41.3838,2.177751,Sí,No,Sí,Sí,Sí,C. Veguer,Museus,Ajuntament de Barcelona,2026-06-23 15:23:00,Museu,Parcialment,Sí,True
Museu Frederic Marès,080193|MUSEU_FREDERIC_MARES,41.38418,2.176805,Sí,Sí,Sí,Sí,Sí,"Pl. Sant Iu, 5-6",Museus,Ajuntament de Barcelona,2026-06-23 15:23:00,Museu,Parcialment,Sí,True
Museu del Disseny de Barcelona - Dhub,080193|MUSEU_DEL_DISSENY_DE_BARCELONA_DHUB,41.40257,2.188034,Sí,Sí,Sí,Sí,Sí,"Pl. De les Glòries, 37-38",Museus,Ajuntament de Barcelona,2026-06-23 15:23:00,Museu,Parcialment,Sí,True
Museu Reial Monestir de Santa Maria de Pedralbes,080193|MUSEU_REIAL_MONESTIR_DE_SANTA_MARIA_DE_PEDRALBES,41.39534,2.11212,Sí,Sí,Sí,Sí,Sí,"Baixada del Monestir, 9",Museus,Ajuntament de Barcelona,2026-06-23 15:23:00,Museu,Parcialment,Sí,True
Museu de Ciències Naturals de Barcelona - Museu Blau,080193|MUSEU_DE_CIENCIES_NATURALS_DE_BARCELONA_MUSEU_BLAU,41.41078,2.220481,Sí,Sí,Sí,Sí,Sí,"Fòrum. Pl. Leonardo da Vinci, 4-5",Museus,Ajuntament de Barcelona,2026-06-23 15:23:00,Museu,Parcialment,Sí,True
Museu Etnològic,080193|MUSEU_ETNOLOGIC,41.36887,2.156166,Sí,Sí,Sí,Sí,Sí,"Pg. Santa Madrona, s/n",Museus,Ajuntament de Barcelona,2026-06-23 15:23:00,Museu,Parcialment,Sí,True
Jardí Botànic Històric,080193|JARDI_BOTANIC_HISTORIC,41.36719,2.152699,Sí,Sí,No,Sí,No,"Av. Montanyans, 30-32",Parcs i Jardins,Ajuntament de Barcelona,2026-06-23 15:23:00,Parc i Jardí,Sí,Sí,True
Jardins de Ramon Margalef,080193|JARDINS_DE_RAMON_MARGALEF,41.36609,2.152965,Sí,Sí,No,Sí,No,"Av. Estadi, 42-48",Parcs i Jardins,Ajuntament de Barcelona,2026-06-23 15:23:00,Parc i Jardí,Sí,Sí,True
Jardí de l'Umbracle,080193|JARDI_DE_L_UMBRACLE,41.36737,2.158019,Sí,Sí,No,Sí,No,"Pg. Santa Madrona, 25",Parcs i Jardins,Ajuntament de Barcelona,2026-06-23 15:23:00,Parc i Jardí,Sí,Sí,True
Jardins de Can Sentmenat,080193|JARDINS_DE_CAN_SENTMENAT,41.40262,2.115102,Sí,Sí,No,Sí,Sí,"C. Can Caralleu, 6-14",Parcs i Jardins,Ajuntament de Barcelona,2026-06-23 15:23:00,Parc i Jardí,Sí,Sí,True
Jardins de Joan  Brossa,080193|JARDINS_DE_JOAN_BROSSA,41.36867,2.165013,Sí,Sí,No,Sí,No,"Pl. Dante, 9999",Parcs i Jardins,Ajuntament de Barcelona,2026-06-23 15:23:00,Parc i Jardí,Sí,Sí,True
Jardins de la Maternitat (manteniment Diputació),080193|JARDINS_DE_LA_MATERNITAT_MANTENIMENT_DIPUTACIO,41.38132,2.126252,Sí,Sí,No,Sí,No,"Trav. de Les Corts, 159",Parcs i Jardins,Ajuntament de Barcelona,2026-06-23 15:23:00,Parc i Jardí,Sí,Sí,True
Jardins de la Tamarita,080193|JARDINS_DE_LA_TAMARITA,41.41091,2.135331,Sí,Sí,No,Sí,No,"Pg. Sant Gervasi, 47-49",Parcs i Jardins,Ajuntament de Barcelona,2026-06-23 15:23:00,Parc i Jardí,Sí,Sí,True
Jardins de Laribal,080193|JARDINS_DE_LARIBAL,41.36812,2.158483,Sí,Sí,No,Sí,No,"Pg. Santa Madrona, 25",Parcs i Jardins,Ajuntament de Barcelona,2026-06-23 15:23:00,Parc i Jardí,Sí,Sí,True
Jardins de Palau de Pedralbes (gestionat per la Generalitat),080193|JARDINS_DE_PALAU_DE_PEDRALBES_GESTIONAT_PER_LA_GENERALITAT,41.38655,2.118435,Sí,Sí,No,Sí,No,"Av. Diagonal, 686",Parcs i Jardins,Ajuntament de Barcelona,2026-06-23 15:23:00,Parc i Jardí,Sí,Sí,True
Jardins de Pedro Muñoz Seca,080193|JARDINS_DE_PEDRO_MUNOZ_SECA,41.42773,2.140747,Sí,Sí,No,Sí,No,"C. Arquitectura, 1",Parcs i Jardins,Ajuntament de Barcelona,2026-06-23 15:23:00,Parc i Jardí,Sí,Sí,True
Jardins de Piscines i Esports,080193|JARDINS_DE_PISCINES_I_ESPORTS,41.39314,2.135608,Sí,Sí,No,Sí,No,"C. Doctor Fleming, 8",Parcs i Jardins,Ajuntament de Barcelona,2026-06-23 15:23:00,Parc i Jardí,Sí,Sí,True
Parc dEl Poblenou,080193|PARC_DEL_POBLENOU,41.39728,2.207471,Sí,Sí,No,Sí,No,"Av. Litoral, 59-71",Parcs i Jardins,Ajuntament de Barcelona,2026-06-23 15:23:00,Parc i Jardí,Sí,Sí,True
Espai enjardinat de la Via Trajana,080193|ESPAI_ENJARDINAT_DE_LA_VIA_TRAJANA,41.42896,2.203714,Sí,Sí,No,Sí,No,"C. Santander, 58",Parcs i Jardins,Ajuntament de Barcelona,2026-06-23 15:23:00,Parc i Jardí,Sí,Sí,True
Jardins de Vil·la Amèlia,080193|JARDINS_DE_VIL_LA_AMELIA,41.39391,2.121187,Sí,Sí,No,Sí,Sí,"C. Eduardo Conde, 22",Parcs i Jardins,Ajuntament de Barcelona,2026-06-23 15:23:00,Parc i Jardí,Sí,Sí,True
Jardins del Dr.Pla i Armengol,080193|JARDINS_DEL_DR_PLA_I_ARMENGOL,41.41601,2.16992,Sí,Sí,No,Sí,No,"Av. Mare de Déu de Montserrat, 132",Parcs i Jardins,Ajuntament de Barcelona,2026-06-23 15:23:00,Parc i Jardí,Sí,Sí,True
Mirador dEl Poble-sec,080193|MIRADOR_DEL_POBLE_SEC,41.37208,2.170647,Sí,Sí,No,Sí,No,"Pg. Montjuïc, 59",Parcs i Jardins,Ajuntament de Barcelona,2026-06-23 15:23:00,Parc i Jardí,Sí,Sí,True
Parc Creueta del Coll,080193|PARC_CREUETA_DEL_COLL,41.41926,2.146252,Sí,Sí,No,Sí,Sí,"Pg. de la Mare de Déu del Coll, 77",Parcs i Jardins,Ajuntament de Barcelona,2026-06-23 15:23:00,Parc i Jardí,Sí,Sí,True
Parc de Can Sabaté,080193|PARC_DE_CAN_SABATE,41.36437,2.13775,Sí,Sí,No,Sí,No,"C. Mineria, 16",Parcs i Jardins,Ajuntament de Barcelona,2026-06-23 15:23:00,Parc i Jardí,Sí,Sí,True
Parc de Cervantes,080193|PARC_DE_CERVANTES,41.38457,2.109439,Sí,Sí,No,Sí,No,"Av. Diagonal, 706",Parcs i Jardins,Ajuntament de Barcelona,2026-06-23 15:23:00,Parc i Jardí,Sí,Sí,True
Parc de Diagonal Mar,080193|PARC_DE_DIAGONAL_MAR,41.40849,2.212232,Sí,Sí,No,Sí,No,"C. Llull, 356 - 360",Parcs i Jardins,Ajuntament de Barcelona,2026-06-23 15:23:00,Parc i Jardí,Sí,Sí,True
Parc de Josep Maria Serra i Martí,080193|PARC_DE_JOSEP_MARIA_SERRA_I_MARTI,41.44296,2.165954,Sí,Sí,No,Sí,No,"C. Miguel Hernández, 16",Parcs i Jardins,Ajuntament de Barcelona,2026-06-23 15:23:00,Parc i Jardí,Sí,Sí,True
Parc de la Barceloneta,080193|PARC_DE_LA_BARCELONETA,41.38206,2.193838,Sí,Sí,No,Sí,Sí,"Pg. Marítim de la Barceloneta, 15-21",Parcs i Jardins,Ajuntament de Barcelona,2026-06-23 15:23:00,Parc i Jardí,Sí,Sí,True
Parc de La Ciutadella,080193|PARC_DE_LA_CIUTADELLA,41.38634,2.185382,Sí,Sí,No,Sí,Sí,"Pg. de Picasso, 21",Parcs i Jardins,Ajuntament de Barcelona,2026-06-23 15:23:00,Parc i Jardí,Sí,Sí,True
Parc de la Font Florida,080193|PARC_DE_LA_FONT_FLORIDA,41.36863,2.14105,Sí,Sí,No,Sí,No,"C. Font Florida, 102",Parcs i Jardins,Ajuntament de Barcelona,2026-06-23 15:23:00,Parc i Jardí,Sí,Sí,True
Parc de la Pegaso,080193|PARC_DE_LA_PEGASO,41.42689,2.190739,Sí,Sí,No,Sí,No,C. Sagrera 179-197,Parcs i Jardins,Ajuntament de Barcelona,2026-06-23 15:23:00,Parc i Jardí,Sí,Sí,True
