Codi_Barri,Nom_Barri,Nom_Districte,poblacio_total,poblacio_65_mes,poblacio_menys_5,pct_65_mes,pct_menys_5,Renda_Bruta_Mediana,pct_vulnerable_fisiologic,renda_percentil,edat_percentil,index_vulnerabilitat
59,el Bon Pastor,Sant Andreu,15806,2308,527,14.6,3.33,38085.0,17.93,0.1643835616438356,0.1095890410958904,0.4726027397260274
6,la Sagrada Família,Eixample,53136,12001,1415,22.59,2.66,57828.0,25.25,0.6986301369863014,0.6164383561643836,0.4589041095890411
15,Hostafrancs,Sants-Montjuïc,16973,3288,603,19.37,3.55,51145.5,22.92,0.4520547945205479,0.3698630136986301,0.45890410958904104
3,la Barceloneta,Ciutat Vella,14471,2301,308,15.9,2.13,41427.0,18.03,0.2191780821917808,0.1232876712328767,0.452054794520548
1,el Raval,Ciutat Vella,50449,5040,2034,9.99,4.03,38052.0,14.02,0.1506849315068493,0.0547945205479452,0.452054794520548
71,Provençals del Poblenou,Sant Martí,21999,4240,748,19.27,3.4,51924.0,22.669999999999998,0.4657534246575342,0.3561643835616438,0.4452054794520548
29,el Coll,Gràcia,8027,1607,248,20.02,3.09,53869.0,23.11,0.547945205479452,0.3972602739726027,0.4246575342465754
11,el Poble-sec,Sants-Montjuïc,40021,6547,1132,16.36,2.83,45342.5,19.189999999999998,0.3150684931506849,0.1506849315068493,0.4178082191780822
4,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,22859,2917,515,12.76,2.25,43808.0,15.01,0.2465753424657534,0.0684931506849315,0.410958904109589
26,Sant Gervasi - Galvany,Sarrià-Sant Gervasi,49038,10676,2073,21.77,4.23,112973.0,26.0,0.9452054794520548,0.7671232876712328,0.410958904109589
12,la Marina del Prat Vermell,Sants-Montjuïc,3118,263,167,8.43,5.36,42100.0,13.79,0.2328767123287671,0.0410958904109589,0.40410958904109584
24,les Tres Torres,Sarrià-Sant Gervasi,16274,3627,606,22.29,3.72,153137.0,26.009999999999998,0.9931506849315068,0.7808219178082192,0.3938356164383562
10,Sant Antoni,Eixample,38878,8256,1169,21.24,3.01,59887.0,24.25,0.7123287671232876,0.4931506849315068,0.3904109589041096
27,el Putxet i el Farró,Sarrià-Sant Gervasi,30747,6600,1194,21.47,3.88,79438.0,25.349999999999998,0.8904109589041096,0.6301369863013698,0.3698630136986301
21,Pedralbes,Les Corts,12380,2765,439,22.33,3.55,153137.0,25.88,0.9931506849315068,0.726027397260274,0.3664383561643836
18,Sants,Sants-Montjuïc,46507,9031,1370,19.42,2.95,55116.0,22.37,0.6164383561643836,0.3424657534246575,0.363013698630137
25,Sant Gervasi - la Bonanova,Sarrià-Sant Gervasi,26693,5851,1021,21.92,3.82,136262.0,25.740000000000002,0.9726027397260274,0.6986301369863014,0.363013698630137
23,Sarrià,Sarrià-Sant Gervasi,24749,5402,956,21.83,3.86,110015.0,25.689999999999998,0.9315068493150684,0.6575342465753424,0.363013698630137
28,Vallcarca i els Penitents,Gràcia,16781,3634,524,21.66,3.12,74144.0,24.78,0.8493150684931506,0.547945205479452,0.3493150684931507
2,el Barri Gòtic,Ciutat Vella,27059,2190,537,8.09,1.98,45629.0,10.07,0.3287671232876712,0.0273972602739726,0.3493150684931507
66,el Parc i la Llacuna del Poblenou,Sant Martí,17595,3419,615,19.43,3.5,60669.0,22.93,0.726027397260274,0.3835616438356164,0.3287671232876712
8,l'Antiga Esquerra de l'Eixample,Eixample,42726,9088,1237,21.27,2.9,76914.5,24.169999999999998,0.8767123287671232,0.4794520547945205,0.3013698630136986
31,la Vila de Gràcia,Gràcia,51127,9299,1557,18.19,3.05,57633.5,21.240000000000002,0.684931506849315,0.273972602739726,0.2945205479452055
5,el Fort Pienc,Eixample,37617,7395,1017,19.66,2.7,65241.5,22.36,0.7671232876712328,0.3287671232876712,0.2808219178082192
7,la Dreta de l'Eixample,Eixample,45089,9239,1303,20.49,2.89,86306.0,23.38,0.9041095890410958,0.4246575342465753,0.26027397260273977
67,la Vila Olímpica del Poblenou,Sant Martí,9187,1912,233,20.81,2.54,101736.0,23.349999999999998,0.9178082191780822,0.410958904109589,0.2465753424657534
68,el Poblenou,Sant Martí,34636,5879,1131,16.97,3.27,63913.0,20.24,0.7534246575342466,0.22602739726027396,0.2363013698630137
42,la Clota,Horta-Guinardó,944,10,58,1.06,6.14,54643.0,7.199999999999999,0.5753424657534246,0.0136986301369863,0.21917808219178084
69,Diagonal Mar i el Front Marítim del Poblenou,Sant Martí,13671,2232,534,16.33,3.91,70467.0,20.24,0.8356164383561644,0.22602739726027396,0.1952054794520548
22,"Vallvidrera, el Tibidabo i les Planes",Sarrià-Sant Gervasi,4741,774,153,16.33,3.23,118790.0,19.56,0.958904109589041,0.1917808219178082,0.11643835616438358
